[EXTINCT ][2026-07-26 02:14:37] extinction #105 | ticks: 9340 | max Gen: 1 | avg Ein: 103.5 | avg Eout: 70.9
[EXTINCT ][2026-07-26 02:14:43] extinction #106 | ticks: 13789 | max Gen: 1 | avg Ein: 405.6 | avg Eout: 54.7
[EXTINCT ][2026-07-26 02:14:47] extinction #107 | ticks: 9784 | max Gen: 3 | avg Ein: 80.0 | avg Eout: 58.2
[EXTINCT ][2026-07-26 02:14:51] extinction #108 | ticks: 7268 | max Gen: 1 | avg Ein: 221.3 | avg Eout: 238.6
[EXTINCT ][2026-07-26 02:14:57] extinction #109 | ticks: 10918 | max Gen: 6 | avg Ein: 415.9 | avg Eout: 87.0
[EXTINCT ][2026-07-26 02:15:01] extinction #110 | ticks: 4186 | max Gen: 0 | avg Ein: 2474.2 | avg Eout: 93.0
[EXTINCT ][2026-07-26 02:15:08] extinction #111 | ticks: 15889 | max Gen: 4 | avg Ein: 91.7 | avg Eout: 44.1
[EXTINCT ][2026-07-26 02:15:10] extinction #112 | ticks: 4772 | max Gen: 5 | avg Ein: 375.7 | avg Eout: 69.4
[EXTINCT ][2026-07-26 02:15:17] extinction #113 | ticks: 12530 | max Gen: 2 | avg Ein: 164.1 | avg Eout: 141.8
[EXTINCT ][2026-07-26 02:15:25] extinction #114 | ticks: 8388 | max Gen: 1 | avg Ein: 583.6 | avg Eout: 132.9
[EXTINCT ][2026-07-26 02:15:32] extinction #115 | ticks: 12407 | max Gen: 3 | avg Ein: 124.2 | avg Eout: 98.4
[EXTINCT ][2026-07-26 02:15:39] extinction #116 | ticks: 8955 | max Gen: 1 | avg Ein: 814.9 | avg Eout: 365.1
[EXTINCT ][2026-07-26 02:15:43] extinction #117 | ticks: 9103 | max Gen: 4 | avg Ein: 89.5 | avg Eout: 86.0
[EXTINCT ][2026-07-26 02:15:49] extinction #118 | ticks: 9278 | max Gen: 1 | avg Ein: 158.0 | avg Eout: 96.0
[EXTINCT ][2026-07-26 02:15:58] extinction #119 | ticks: 10575 | max Gen: 2 | avg Ein: 640.9 | avg Eout: 85.9
[EXTINCT ][2026-07-26 02:16:02] extinction #120 | ticks: 6765 | max Gen: 1 | avg Ein: 400.7 | avg Eout: 49.5
[EXTINCT ][2026-07-26 02:16:06] extinction #121 | ticks: 3767 | max Gen: 7 | avg Ein: 75.6 | avg Eout: 66.8
[EXTINCT ][2026-07-26 02:16:12] extinction #122 | ticks: 9307 | max Gen: 1 | avg Ein: 362.9 | avg Eout: 200.8
[EXTINCT ][2026-07-26 02:16:16] extinction #123 | ticks: 8814 | max Gen: 1 | avg Ein: 72.5 | avg Eout: 45.7
[EXTINCT ][2026-07-26 02:16:19] extinction #124 | ticks: 8792 | max Gen: 5 | avg Ein: 114.7 | avg Eout: 123.0
[EXTINCT ][2026-07-26 02:16:25] extinction #125 | ticks: 11043 | max Gen: 1 | avg Ein: 232.7 | avg Eout: 122.1
[EXTINCT ][2026-07-26 02:16:30] extinction #126 | ticks: 8607 | max Gen: 1 | avg Ein: 167.5 | avg Eout: 94.8
[EXTINCT ][2026-07-26 02:16:34] extinction #127 | ticks: 7244 | max Gen: 3 | avg Ein: 103.3 | avg Eout: 78.4
